Description	ID	Manufacturer	"Manufacturer Part Number"	Supplier	"Supplier Part Number"	"Reference Designators"	"Line Quantity"	"Order Quantity"	"Unit Price"	"Order Price"	"Legacy ID"	"Datasheet 1"	"Datasheet 2"	"Datasheet 3"	"Datasheet 4"	"Datasheet 5"	"Datasheet 6"	"Datasheet 7"	"Datasheet 8"	"Datasheet 9"	"Datasheet 10"	"Datasheet 11"	"Datasheet 12"	"Datasheet 13"	"Datasheet 14"	"Datasheet 15"	"Datasheet 16"	"Datasheet 17"
"RES SMD 4.75K OHM 1% 1/16W 0402"	STACKPOLE/RMCF0402FT4K75	"Stackpole Electronics"	RMCF0402FT4K75	Digi-Key	RMCF0402FT4K75DKR-ND	R23,R24,R25,R163,R164,R26	6	220	0.0105	2.31		http://datasheet.octopart.com/RMCF0603FT1R50-Stackpole-Electronics-datasheet-10788263.pdf	http://datasheet.octopart.com/RMCF1206JT1M00-Stackpole-Electronics-datasheet-11546843.pdf	http://datasheet.octopart.com/RMCF0402FT100K-Stackpole-Electronics-datasheet-12534581.pdf														
"FERRITE 800MA 150 OHM 0805 SMD"	STEWARD/LI0805H151R-10	Steward	LI0805H151R-10	Mouser	875-LI0805H151R-10	FB1,FB2,FB3,FB4,FB7,FB5	6	250	0.027	6.75		http://datasheet.octopart.com/LI0805H151R-10-Steward-datasheet-14357300.pdf	http://datasheet.octopart.com/LI0805H151R-10-Laird-datasheet-9566673.pdf	http://datasheet.octopart.com/LI0805H151R-10-Steward-datasheet-53392.pdf														
"CONN HEADER FMAL 46PS.1"" DL GOLD"	SULLINS/PPPC232LFBN-RC	Sullins	PPPC232LFBN-RC	Digi-Key	S7126-ND	P8,P9	2	44	2.268	99.79199999999999		http://datasheet.octopart.com/PPPC232LFBN-RC-Sullins-datasheet-12511165.pdf	http://datasheet.octopart.com/PPPC232LFBN-RC-Sullins-datasheet-12463.pdf															
"CAP CER 0.022UF 10V X7R 0402"	TAIYOYUDEN/LMK105B7223KV-F	"Taiyo Yuden"	LMK105B7223KV-F	"Master Electronics"	LMK105B7223KVF	C141	1	100	0.0026	0.26		http://datasheet.octopart.com/GMK316F106ZL-T-Taiyo-Yuden-datasheet-8434558.pdf	http://datasheet.octopart.com/GMK316F106ZL-T-Taiyo-Yuden-datasheet-8857305.pdf	http://datasheet.octopart.com/JMK105BJ105KV-F-Taiyo-Yuden-datasheet-10851928.pdf	http://datasheet.octopart.com/LMK105B7223KV-F-Taiyo-Yuden-datasheet-13703703.pdf	http://datasheet.octopart.com/LMK105B7223KV-F-Taiyo-Yuden-datasheet-13056013.pdf	http://datasheet.octopart.com/LMK105B7223KV-F-Taiyo-Yuden-datasheet-15384012.pdf											
"POLYSWITCH PTC RESET 0.1A"	TC/RXEF010	"TE Connectivity"	RXEF010	"Heilind Electronics"	RYPRXEF010	RT1	1	30	0.1959	5.877		http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-14475379.pdf	http://datasheet.octopart.com/RXEF010-Raychem-datasheet-23691185.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-11084691.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-498873.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-9566561.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-15333.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-12536070.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-118994.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-500371.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-13174.pdf	http://datasheet.octopart.com/RXEF010-Raychem-datasheet-27892919.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-14490207.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-8319195.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-8827934.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-8457203.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-13040659.pdf	http://datasheet.octopart.com/RXEF010-Tyco-Electronics-datasheet-13330082.pdf
"CAP CER 15PF 50V C0G 0402"	TDK/C1005C0G1H150J050BA	TDK	C1005C0G1H150J050BA	Mouser	810-C1005C0G1H150J	C137,C138,C139,C140	4	130	0.008	1.04		http://datasheet.octopart.com/C0603C0G1E220J-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1005C0G1H150J050BA-TDK-datasheet-13376850.pdf															
"CAP CER 18PF 50V C0G 0402"	TDK/C1005C0G1H180J050BA	TDK	C1005C0G1H180J050BA	Arrow	C1005C0G1H180J050BA**MUL	C21,C22,C25,C26	4	130	0.0054	0.7020000000000001		http://datasheet.octopart.com/C1608X7R1H221K-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C0603C0G1E220J-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8359770.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-10978788.pdf	http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_commercial_general_en.pdf										
"Ceramic Capacitor 30pf 50v, C0g, 5%, 0402"	TDK/C1005C0G1H300J	TDK	C1005C0G1H300J			C142,C143	2	0		0		http://datasheet.octopart.com/C1608X7R1H221K-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C1608X7R1H221K-TDK-datasheet-11513774.pdf	http://datasheet.octopart.com/C0603C0G1E220J-TDK-datasheet-10921857.pdf	http://datasheet.octopart.com/C0603C0G1E220J-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8359770.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-10978788.pdf	http://datasheet.octopart.com/C1608X7R1C105K-TDK-datasheet-13038372.pdf	http://datasheet.octopart.com/C1005X7R1H104K-TDK-datasheet-13051102.pdf							
"CAP CER 47PF 50V C0G 0402"	TDK/C1005C0G1H470J050BA	TDK	C1005C0G1H470J050BA	Arrow	C1005C0G1H470J050BA**MUL	C156,C157,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173	16	370	0.0046	1.702		http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-10978788.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-13376850.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C-Series-Ceramic-Chip-Capacitors-TDK-datasheet-family-84.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-23766614.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1005C0G1H470J050BA-TDK-datasheet-8359770.pdf								
"CAP CER 0.1UF 6.3V X5R 0402"	TDK/C1005X5R0J104K050BA	TDK	C1005X5R0J104K050BA	Digi-Key	445-1266-6-ND	C100,C101,C102,C103,C105,C106,C131,C132,C135,C152,C154,C155,C158,C159,C20,C27,C28,C29,C30,C31,C33,C35,C36,C37,C38,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C56,C57,C58,C59,C60,C61,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C92,C93,C94,C97,C98,C99,C3,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C119,C120,C121,C124,C127,C128,C129,C130,C145,C147,C149,C150	100	2230	0.0066	16.302		http://datasheet.octopart.com/C1608X7R1H221K-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C0603C0G1E220J-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8359770.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-10978788.pdf	http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_commercial_general_en.pdf										
"CAP CER 2.2UF 6.3V X5R 0402"	TDK/C1005X5R0J225K050BC	TDK	C1005X5R0J225K050BC	Newark	04X3209	C16,C17,C18,C125,C144,C146,C148,C151	8	260	0.029	7.540000000000001		http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_commercial_general_en.pdf	http://datasheet.octopart.com/C1005X5R1A475M050BC-TDK-datasheet-13444418.pdf															
"Capacitor Ceramic, 10uf, 10v, Y5v, +80, -20%, 0805, Full Reel"	TDK/C2012Y5V1A106Z	TDK	C2012Y5V1A106Z			C1,C118,C122,C126,C133,C2,C10,C11,C12,C13,C14,C15,C153,C39,C4,C40,C55,C62,C7,C77,C8,C9,C95,C96	24	0		0		http://datasheet.octopart.com/C1608X7R1H221K-TDK-datasheet-8852320.pdf	http://datasheet.octopart.com/C1608X7R1H221K-TDK-datasheet-11513774.pdf	http://datasheet.octopart.com/C0603C0G1E220J-TDK-datasheet-12509848.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-128946.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8324322.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-8359770.pdf	http://datasheet.octopart.com/C1005X5R1A104K050BA-TDK-datasheet-10978788.pdf	http://datasheet.octopart.com/C1005C0G1H150J050BA-TDK-datasheet-13376850.pdf	http://datasheet.octopart.com/C1608X7R1C105K-TDK-datasheet-3769.pdf	http://datasheet.octopart.com/C1608X5R0J106M-TDK-datasheet-11517535.pdf	http://datasheet.octopart.com/C2012Y5V1A106Z-TDK-datasheet-167034.pdf	http://datasheet.octopart.com/C2012Y5V1A106Z-TDK-datasheet-13039156.pdf					
"IC INVERTER SINGLE 1INPUT SC705"	TI/SN74LVC1G06DCKTG4	"Texas Instruments"	SN74LVC1G06DCKTG4			U3	1	0		0		http://datasheet.octopart.com/SN74LVC1G06DCKR-Texas-Instruments-datasheet-150737.pdf	http://datasheet.octopart.com/SN74LVC1G06DCKR-Texas-Instruments-datasheet-10899253.pdf	http://datasheet.octopart.com/SN74LVC1G06DCKR-Texas-Instruments-datasheet-13048910.pdf														
"IC D-TYPE POS TRG SNGL SM8"	TI/SN74LVC1G74DCTR	"Texas Instruments"	SN74LVC1G74DCTR	Arrow	SN74LVC1G74DCTR**MULT1	U6	1	30	0.3262	9.786		http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-10628250.pdf	http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-10824736.pdf	http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-13429653.pdf	http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-11798213.pdf	http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-10256661.pdf	http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-12085774.pdf	http://datasheet.octopart.com/SN74LVC1G74DCTR-Texas-Instruments-datasheet-12961346.pdf										
"IC BUFF/DVR TRI-ST DL US8"	TI/SN74LVC2G241DCUR	"Texas Instruments"	SN74LVC2G241DCUR	Arrow	SN74LVC2G241DCUR**MULT1	U15	1	30	0.441	13.23		http://datasheet.octopart.com/SN74LVC2G241DCUR-Texas-Instruments-datasheet-149438.pdf	http://datasheet.octopart.com/SN74LVC2G241DCUR-Texas-Instruments-datasheet-10257332.pdf	http://datasheet.octopart.com/SN74LVC2G241DCUR-Texas-Instruments-datasheet-33441.pdf	http://datasheet.octopart.com/SN74LVC2G241DCUR-Texas-Instruments-datasheet-7589636.pdf	http://datasheet.octopart.com/SN74LVC2G241DCUR-Texas-Instruments-datasheet-14144785.pdf												
"IC REG LDO ADJ 0.5A 8SOIC"	TI/TL5209DR	"Texas Instruments"	TL5209DR	Newark	20M5842	U4	1	25	0.709	17.724999999999998		http://datasheet.octopart.com/TL5209DR-Texas-Instruments-datasheet-8560888.pdf	http://datasheet.octopart.com/TL5209DR-Texas-Instruments-datasheet-16079882.pdf	http://datasheet.octopart.com/TL5209DR-Texas-Instruments-datasheet-10259164.pdf	http://datasheet.octopart.com/TL5209DR-Texas-Instruments-datasheet-5396491.pdf	http://datasheet.octopart.com/TL5209DR-Texas-Instruments-datasheet-14168708.pdf												
"IC 4CH ESD SOLUTION W/CLAMP 6SON"	TI/TPD4S012DRYR	"Texas Instruments"	TPD4S012DRYR	Arrow	TPD4S012DRYR**MULT1	U10,U9	2	50	0.4794	23.97		http://datasheet.octopart.com/TPD4S012DRYR-Texas-Instruments-datasheet-10299746.pdf	http://datasheet.octopart.com/TPD4S012DRYR-Texas-Instruments-datasheet-16079974.pdf	http://datasheet.octopart.com/TPD4S012DRYR-Texas-Instruments-datasheet-10255449.pdf														
"IC 0.5A POWER DIST SW 8-MSOP"	TI/TPS2051BDGNR	"Texas Instruments"	TPS2051BDGNR	Arrow	TPS2051BDGNR**MULT1	U8	1	24	1.0772	25.8528		http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-5388302.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-10254633.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-10072354.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-149034.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-8753447.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-14158244.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-10222567.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-8627374.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-8471748.pdf	http://datasheet.octopart.com/TPS2051BD-Texas-Instruments-datasheet-7550713.pdf	http://datasheet.octopart.com/TPS2051BDGNR-Texas-Instruments-datasheet-11535947.pdf	http://datasheet.octopart.com/TPS2051BDGNR-Texas-Instruments-datasheet-15542122.pdf	http://datasheet.octopart.com/TPS2051BDGNR-Texas-Instruments-datasheet-114580.pdf				
"IC PMIC BATT PWR SYST 48VQFN"	TI/TPS65217CRSLR	"Texas Instruments"	TPS65217CRSLR	Arrow	TPS65217CRSLR**MULT1	U2	1	23	6.115	140.645		http://datasheet.octopart.com/TPS65217ARSLT-Texas-Instruments-datasheet-10945197.pdf	http://datasheet.octopart.com/TPS65217ARSLT-Texas-Instruments-datasheet-15346370.pdf	http://datasheet.octopart.com/TPS65217ARSLT-Texas-Instruments-datasheet-11522904.pdf														
"Microprocessor-Mpu, 32 Bit, Sitara-Am335x, Nfbga-324"	TI/XAM3359ZCZ	"Texas Instruments"	XAM3359ZCZ	Newark	64T4422	U5	1	0	33.5	0		http://datasheet.octopart.com/AM3359ZCZD72-Texas-Instruments-datasheet-10899154.pdf	http://datasheet.octopart.com/AM3359ZCZD72-Texas-Instruments-datasheet-10940804.pdf	http://datasheet.octopart.com/AM3359ZCZD72-Texas-Instruments-datasheet-11474147.pdf	http://datasheet.octopart.com/AM3359ZCZD72-Texas-Instruments-datasheet-10670044.pdf	http://datasheet.octopart.com/AM3359ZCZD72-Texas-Instruments-datasheet-11521167.pdf	http://datasheet.octopart.com/AM3359ZCZD72-Texas-Instruments-datasheet-12539007.pdf											
"CRYSTAL 24.0000MHZ 18PF SMD"	TXC/7A-24.000MAAJ-T	TXC	7A-24.000MAAJ-T	Digi-Key	887-1090-6-ND	Y2	1	25	0.658	16.45		http://datasheet.octopart.com/7A-27.120MAAJ-T-TXC-datasheet-8857684.pdf	http://datasheet.octopart.com/7A-27.120MAAJ-T-TXC-datasheet-10545748.pdf	http://datasheet.octopart.com/7A-27.120MAAJ-T-TXC-datasheet-10209803.pdf	http://datasheet.octopart.com/7B-16.000MEEQ-T-TXC-datasheet-10379982.pdf													
"CONN MAGJACK 1PORT 100 BASE-T"	W/7499010211A	"WÃ¼rth Elektronik"	7499010211A	Newark	17X9570	P5	1	20	7.86	157.20000000000002		http://datasheet.octopart.com/7499010211A-W%C3%BCrth-Elektronik-datasheet-12523826.pdf																
"CAP CER 1000PF 16V X7R 0402"	YAGEO/CC0402KRX7R7BB102	Yageo	CC0402KRX7R7BB102	Newark	68R4638	C32,C123	2	200	0.002	0.4		http://datasheet.octopart.com/CC0402CRNPO9BN1R5-Yageo-datasheet-5301394.pdf	http://datasheet.octopart.com/CC1812KKX7RDBB102-Yageo-datasheet-10883670.pdf	http://datasheet.octopart.com/CC1206KKX7R7BB105-Yageo-datasheet-499490.pdf	http://datasheet.octopart.com/CC1206KKX7R7BB105-Yageo-datasheet-8324442.pdf	http://datasheet.octopart.com/CC1206KKX7R7BB105-Yageo-datasheet-10911834.pdf	http://datasheet.octopart.com/CC1206KKX7R7BB105-Yageo-datasheet-8701427.pdf	http://datasheet.octopart.com/CC1206KKX7R7BB105-Yageo-datasheet-12526321.pdf	http://datasheet.octopart.com/CC1206KKX7R7BB105-Yageo-datasheet-15895757.pdf									
"RES SMD 12.1K OHM 1% 1/16W 0402"	YAGEO/RC0402FR-0712K1L	Yageo	RC0402FR-0712K1L	Newark	67R9893	R144	1	100	0.002	0.2		http://datasheet.octopart.com/RC0402FR-0712K1L-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402FR-0712K1L-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC0402FR-0712K1L-Yageo-datasheet-8329306.pdf	http://datasheet.octopart.com/RC0402FR-0712K1L-Yageo-datasheet-8324255.pdf												
"RES SMD 27K OHM 1% 1/16W 0402"	YAGEO/RC0402FR-0727KL	Yageo	RC0402FR-0727KL	Mouser	603-RC0402FR-0727KL	R166	1	100	0.003	0.3		http://datasheet.octopart.com/RC0402FR-0710KL-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402FR-0710KL-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402FR-07470RL-Yageo-datasheet-12531192.pdf													
"RES SMD 820 OHM 5% 1/16W 0402"	YAGEO/RC0402JR-07820RL	Yageo	RC0402JR-07820RL	Mouser	603-RC0402JR-07820RL	R12,R71,R72,R73,R74	5	150	0.002	0.3		http://datasheet.octopart.com/RC0402JR-07820RL-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402JR-07820RL-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402JR-07820RL-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC0402JR-07820RL-Yageo-datasheet-8329306.pdf	http://datasheet.octopart.com/RC0402JR-07820RL-Yageo-datasheet-8324255.pdf											
"RES SMD 1.5K OHM 1% 1/16W 0402"	YAGEO2/RC0402FR-071K5L	"Yageo / Phycomp"	RC0402FR-071K5L	Newark	67R9880	R119,R3,R4,R112,R113,R114,R97,R146,R147	9	340	0.002	0.68		http://datasheet.octopart.com/RC0402FR-071K5L-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402FR-071K5L-Phycomp-datasheet-8324527.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402FR-071K5L-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC0402FR-071K5L-Yageo-datasheet-8329306.pdf	http://datasheet.octopart.com/RC0402FR-071K5L-Yageo-datasheet-8324255.pdf											
"RES SMD 240 OHM 1% 1/16W 0402"	YAGEO2/RC0402FR-07240RL	"Yageo / Phycomp"	RC0402FR-07240RL	Newark	59M4997	R99	1	100	0.003	0.3		http://datasheet.octopart.com/RC0402FR-07240RL-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402FR-07240RL-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402FR-07240RL-Yageo-datasheet-12531192.pdf													
"RES SMD 49.9 OHM 1% 1/16W 0402"	YAGEO2/RC0402FR-0749R9L	"Yageo / Phycomp"	RC0402FR-0749R9L	Newark	66R1536	R120,R121,R122,R123,R22	5	150	0.002	0.3		http://datasheet.octopart.com/RC0402FR-0749R9L-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402FR-0749R9L-Yageo-datasheet-12531192.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402FR-0749R9L-Yageo-datasheet-505231.pdf	http://datasheet.octopart.com/RC0402FR-0749R9L-Yageo-datasheet-8329306.pdf												
"RES SMD 0.0 OHM JUMPER 1/16W"	YAGEO2/RC0402JR-070RL	"Yageo / Phycomp"	RC0402JR-070RL	Newark	66R1737	R137,R142,R159,R160,R161,R162,R19,R20,R27,R49,R5,R50,R51,R6,R7,R8,R149,R140,R9	19	670	0.002	1.34		http://datasheet.octopart.com/RC0402FR-0710KL-Yageo-datasheet-8329306.pdf	http://datasheet.octopart.com/RC0402FR-0710KL-Yageo-datasheet-10408619.pdf	http://datasheet.octopart.com/RC0402FR-0710KL-Yageo-datasheet-8324527.pdf	http://datasheet.octopart.com/RC-Series-Yageo-datasheet-family-20.pdf	http://datasheet.octopart.com/RC0402FR-0710KL-Yageo-datasheet-505231.pdf	http://datasheet.octopart.com/RC0402FR-07470RL-Yageo-datasheet-12531192.pdf											
